Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/kg)	Enthalpy (l+v, kJ/kg)	Entropy (l+v, J/g*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)
373.16	0.12629	undefined	3471.9	5012.0	55.698	0.082000	12.195	3471.9	5012.0	55.698	10.333	14.459	1468.4	-0.40796	1.0396e-05	0.21980	0.082000	12.195	3471.9	5012.0	55.698	10.333	14.459	1468.4	-0.40796	1.0396e-05	0.21980
378.16	0.12798	undefined	3523.6	5084.3	55.836	0.082000	12.195	3523.6	5084.3	55.836	10.338	14.464	1478.2	-0.41344	1.0492e-05	0.22193	0.082000	12.195	3523.6	5084.3	55.836	10.338	14.464	1478.2	-0.41344	1.0492e-05	0.22193
383.16	0.12967	undefined	3575.3	5156.6	55.971	0.082000	12.195	3575.3	5156.6	55.971	10.342	14.468	1487.8	-0.41874	1.0588e-05	0.22406	0.082000	12.195	3575.3	5156.6	55.971	10.342	14.468	1487.8	-0.41874	1.0588e-05	0.22406
388.16	0.13136	undefined	3627.0	5229.0	56.106	0.082000	12.195	3627.0	5229.0	56.106	10.346	14.472	1497.4	-0.42389	1.0684e-05	0.22617	0.082000	12.195	3627.0	5229.0	56.106	10.346	14.472	1497.4	-0.42389	1.0684e-05	0.22617
393.16	0.13306	undefined	3678.7	5301.4	56.238	0.082000	12.195	3678.7	5301.4	56.238	10.350	14.475	1506.9	-0.42888	1.0779e-05	0.22828	0.082000	12.195	3678.7	5301.4	56.238	10.350	14.475	1506.9	-0.42888	1.0779e-05	0.22828
398.16	0.13475	undefined	3730.5	5373.8	56.369	0.082000	12.195	3730.5	5373.8	56.369	10.353	14.479	1516.4	-0.43372	1.0874e-05	0.23037	0.082000	12.195	3730.5	5373.8	56.369	10.353	14.479	1516.4	-0.43372	1.0874e-05	0.23037
403.16	0.13644	undefined	3782.3	5446.2	56.498	0.082000	12.195	3782.3	5446.2	56.498	10.356	14.482	1525.9	-0.43842	1.0968e-05	0.23245	0.082000	12.195	3782.3	5446.2	56.498	10.356	14.482	1525.9	-0.43842	1.0968e-05	0.23245
408.16	0.13813	undefined	3834.1	5518.6	56.626	0.082000	12.195	3834.1	5518.6	56.626	10.359	14.484	1535.2	-0.44298	1.1063e-05	0.23452	0.082000	12.195	3834.1	5518.6	56.626	10.359	14.484	1535.2	-0.44298	1.1063e-05	0.23452
413.16	0.13982	undefined	3885.9	5591.0	56.752	0.082000	12.195	3885.9	5591.0	56.752	10.361	14.487	1544.6	-0.44741	1.1156e-05	0.23658	0.082000	12.195	3885.9	5591.0	56.752	10.361	14.487	1544.6	-0.44741	1.1156e-05	0.23658
418.16	0.14152	undefined	3937.7	5663.5	56.876	0.082000	12.195	3937.7	5663.5	56.876	10.364	14.489	1553.8	-0.45171	1.1250e-05	0.23863	0.082000	12.195	3937.7	5663.5	56.876	10.364	14.489	1553.8	-0.45171	1.1250e-05	0.23863
423.16	0.14321	undefined	3989.5	5736.0	57.000	0.082000	12.195	3989.5	5736.0	57.000	10.366	14.491	1563.0	-0.45589	1.1343e-05	0.24067	0.082000	12.195	3989.5	5736.0	57.000	10.366	14.491	1563.0	-0.45589	1.1343e-05	0.24067
